,kics,dnus
727,KIC3101090,-inf
728,KIC3101632,-inf
729,KIC3101815,-inf
730,KIC3102386,-inf
731,KIC3102411,-inf
732,KIC3102465,-inf
733,KIC3102479,-inf
734,KIC3102872,-inf
735,KIC3102929,-inf
736,KIC3102990,-inf
737,KIC3103685,-inf
738,KIC3103827,-inf
739,KIC3109520,-inf
740,KIC3109620,-inf
741,KIC3109654,-inf
742,KIC3109742,-inf
743,KIC3109900,-inf
744,KIC3110056,-inf
745,KIC3110460,-inf
746,KIC3110626,-inf
747,KIC3110638,-inf
748,KIC3110733,-inf
749,KIC3110846,-inf
750,KIC3110892,-inf
751,KIC3111383,-inf
752,KIC3111456,-inf
753,KIC3111693,-inf
754,KIC3111815,-inf
755,KIC3111831,-inf
756,KIC3112021,-inf
757,KIC3112064,-inf
758,KIC3112182,-inf
759,KIC3112405,-inf
760,KIC3112492,-inf
761,KIC3112530,-inf
762,KIC3112543,-inf
763,KIC3112707,-inf
764,KIC3113213,-inf
765,KIC3113433,-inf
766,KIC3113437,-inf
767,KIC3113648,-inf
768,KIC3113811,-inf
769,KIC3113818,-inf
770,KIC3113915,-inf
771,KIC3114215,-inf
772,KIC3114408,-inf
773,KIC3114776,-inf
774,KIC3115292,-inf
775,KIC3115417,-inf
776,KIC3115946,-inf
777,KIC3116199,-inf
778,KIC3116604,-inf
779,KIC3116848,-inf
780,KIC3117024,-inf
781,KIC3118785,-inf
782,KIC3118806,-inf
783,KIC3119354,-inf
784,KIC3119526,-inf
785,KIC3119555,-inf
786,KIC3119825,-inf
787,KIC3120004,-inf
788,KIC3120486,-inf
789,KIC3120550,-inf
790,KIC3120567,-inf
791,KIC3120585,-inf
792,KIC3120676,-inf
793,KIC3121155,-inf
794,KIC3121340,-inf
795,KIC3121427,-inf
796,KIC3121940,-inf
797,KIC3121983,-inf
798,KIC3122000,-inf
799,KIC3122185,-inf
800,KIC3122548,-inf
801,KIC3123206,-inf
802,KIC3123372,-inf
803,KIC3123653,-inf
804,KIC3123889,-inf
805,KIC3127825,-inf
806,KIC3128379,-inf
807,KIC3128866,-inf
808,KIC3129312,-inf
809,KIC3129980,-inf
810,KIC3130277,-inf
811,KIC3130295,-inf
812,KIC3130335,-inf
813,KIC3131023,-inf
814,KIC3215565,-inf
815,KIC3215815,-inf
816,KIC3215869,-inf
817,KIC3216051,-inf
818,KIC3216064,-inf
819,KIC3216334,-inf
820,KIC3216467,-inf
821,KIC3216638,-inf
822,KIC3216716,-inf
823,KIC3216736,-inf
824,KIC3216802,-inf
825,KIC3217026,-inf
826,KIC3217051,-inf
827,KIC3217089,-inf
828,KIC3218253,-inf
829,KIC3218312,-inf
830,KIC3218373,-inf
831,KIC3218374,-inf
832,KIC3218930,-inf
833,KIC3218973,-inf
834,KIC3219086,-inf
835,KIC3219306,-inf
836,KIC3219744,-inf
837,KIC3220095,-inf
838,KIC3220837,-inf
839,KIC3221086,-inf
840,KIC3221152,-inf
841,KIC3221239,-inf
842,KIC3221723,-inf
843,KIC3222220,-inf
844,KIC3222240,-inf
845,KIC3222326,-inf
846,KIC3222670,-inf
847,KIC3222680,-inf
848,KIC3222740,-inf
849,KIC3222834,-inf
850,KIC3223003,-inf
851,KIC3223038,-inf
852,KIC3227969,-inf
853,KIC3228100,-inf
