KIC,Kpmag,QLen,DLen,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Gran,e_Gran,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase,dnu_acf
2695336,13.7,2,114.1,27.7,0.87,3.583,0.125,152.6,16.9,12.5,3.5,3738.5,1436.0,4762,166,2.349,0.016,-0.28,0.3,1.09,0.2,11.57,0.92,0.97,0.17,10.93,0.85,1.08,0.19,11.52,0.92,2,
2695592,12.68,16,1226.2,37.23,0.59,4.228,0.091,77.7,3.6,15.1,1.4,1304.0,220.9,5200,166,2.496,0.011,-0.13,0.3,1.56,0.18,11.67,0.59,1.58,0.18,11.76,0.6,1.59,0.18,11.79,0.6,2,
2695975,10.77,18,1317.9,10.28,0.35,1.55,0.014,230.0,18.1,4.8,0.7,49956.8,3636.5,4379,100,1.9,0.016,-0.07,0.15,1.4,0.17,22.0,0.94,1.23,0.15,20.58,0.87,1.37,0.16,21.77,0.93,1,
2696115,11.85,10,704.3,20.46,0.48,2.326,0.022,117.1,5.5,9.0,2.3,5638.2,566.2,4616,100,2.21,0.012,0.28,0.15,2.36,0.22,19.97,0.7,2.23,0.21,19.41,0.68,2.4,0.23,20.14,0.71,1,
2696628,10.84,18,1317.9,10.35,0.18,1.5630000000000002,0.013,342.0,29.3,3.8,0.4,69189.4,5171.0,4494,100,1.909,0.01,0.09,0.15,1.44,0.11,22.07,0.67,1.28,0.1,20.78,0.62,1.43,0.11,22.0,0.67,1,
2696732,11.49,18,1317.9,91.08,0.61,8.331,0.015,57.4,2.1,28.6,1.2,286.4,35.9,4963,100,2.875,0.006999999999999999,-0.18,0.15,1.41,0.07,7.18,0.14,1.34,0.07,7.01,0.13,1.44,0.07,7.26,0.14,1,
2696739,12.11,18,1317.9,193.25,0.75,15.049,0.034,39.4,1.6,45.3,2.1,31.2,6.2,4917,80,3.199,0.006,-0.3,0.15,1.25,0.06,4.65,0.08,1.16,0.05,4.49,0.08,1.26,0.06,4.68,0.08,1,
2696955,7.99,18,1317.9,106.77,1.7,8.649,0.018000000000000002,30.0,2.6,38.2,4.6,95.6,51.2,4940,172,2.943,0.011,0.0,0.3,1.94,0.16,7.8,0.22,1.86,0.15,7.63,0.21,1.99,0.16,7.9,0.22,1,
2697082,11.1,17,1235.6,31.32,0.82,3.3280000000000003,0.045,77.3,3.9,14.2,1.4,2772.9,197.6,4937,100,2.41,0.013,0.1,0.15,2.23,0.24,15.44,0.64,2.19,0.23,15.29,0.63,2.29,0.24,15.63,0.65,2,
2697306,13.855,17,1308.5,226.29,2.48,17.312,0.051,,,,,,,4942,147,3.269,0.009000000000000001,-0.07,0.3,1.15,0.08,4.13,0.1,1.13,0.08,4.08,0.1,1.16,0.08,4.14,0.1,1,
2697501,12.04,18,1317.9,50.64,1.36,4.898,0.059,58.8,2.4,21.8,1.5,959.7,56.9,4828,100,2.614,0.013,0.34,0.15,1.95,0.2,11.4,0.46,1.87,0.2,11.18,0.45,1.97,0.21,11.46,0.46,2,
